Malha,DeltaX,Posicao,CodigoEC
228,0.2000,45.6000,C
229,0.2000,45.8000,C
230,0.2000,46.0000,C
231,0.2000,46.2000,C
232,0.2000,46.4000,C
233,0.2000,46.6000,C
234,0.2000,46.8000,C
235,0.2000,47.0000,C
236,0.2000,47.2000,C
237,0.2000,47.4000,C
238,0.2000,47.6000,C
239,0.2000,47.8000,C
240,0.2000,48.0000,C
241,0.2000,48.2000,C
242,0.2000,48.4000,C
243,0.2000,48.6000,C
244,0.2000,48.8000,C
245,0.2000,49.0000,C
246,0.2000,49.2000,C
247,0.2000,49.4000,C
248,0.2000,49.6000,C
249,0.2000,49.8000,C
250,0.2000,50.0000,C
251,0.2000,50.2000,C
252,0.2000,50.4000,C
253,0.2000,50.6000,C
254,0.2000,50.8000,C
255,0.2000,51.0000,C
256,0.2000,51.2000,C
257,0.2000,51.4000,C
258,0.2000,51.6000,C
259,0.2000,51.8000,C
260,0.2000,52.0000,C
261,0.2000,52.2000,C
262,0.2000,52.4000,C
263,0.2000,52.6000,C
264,0.2000,52.8000,C
265,0.2000,53.0000,C
266,0.2000,53.2000,C
267,0.2000,53.4000,C
268,0.2000,53.6000,C
269,0.2000,53.8000,C
270,0.2000,54.0000,C
271,0.2000,54.2000,C
272,0.2000,54.4000,C
273,0.2000,54.6000,C
274,0.2000,54.8000,C
275,0.2000,55.0000,C
276,0.2000,55.2000,C
277,0.2000,55.4000,C
278,0.2000,55.6000,C
279,0.2000,55.8000,C
280,0.2000,56.0000,C
281,0.2000,56.2000,C
282,0.2000,56.4000,C
283,0.2000,56.6000,C
284,0.2000,56.8000,C
285,0.2000,57.0000,C
286,0.2000,57.2000,C
287,0.2000,57.4000,C
288,0.2000,57.6000,C
289,0.2000,57.8000,C
290,0.2000,58.0000,C
291,0.2000,58.2000,C
292,0.2000,58.4000,C
293,0.2000,58.6000,C
294,0.2000,58.8000,C
295,0.2000,59.0000,C
296,0.2000,59.2000,C
297,0.2000,59.4000,C
298,0.2000,59.6000,C
299,0.2000,59.8000,C
300,0.2000,60.0000,C
301,0.2000,60.2000,C
302,0.2000,60.4000,C
303,0.2000,60.6000,C
304,0.2000,60.8000,C
305,0.2000,61.0000,C
306,0.2000,61.2000,C
307,0.2000,61.4000,C
308,0.2000,61.6000,C
309,0.2000,61.8000,C
310,0.2000,62.0000,C
311,0.2000,62.2000,C
312,0.2000,62.4000,C
313,0.2000,62.6000,C
314,0.2000,62.8000,C
315,0.2000,63.0000,C
316,0.2000,63.2000,C
317,0.2000,63.4000,C
318,0.2000,63.6000,C
319,0.2000,63.8000,C
320,0.2000,64.0000,C
321,0.2000,64.2000,C
322,0.2000,64.4000,C
323,0.2000,64.6000,C
324,0.2000,64.8000,C
325,0.2000,65.0000,C
326,0.2000,65.2000,C
327,0.2000,65.4000,C
328,0.2000,65.6000,C
329,0.2000,65.8000,C
330,0.2000,66.0000,C
