Malha,Posicao,Jacobi_Fluxo_Grupo1,Jacobi_Fluxo_Grupo2,Gauss_Fluxo_Grupo1,Gauss_Fluxo_Grupo2,Analitico_Fluxo_Grupo1,Analitico_Fluxo_Grupo2
1,-49.8,0.0031735175950739648,0.00047107041368382653,0.0031569879446380913,0.00046862614437586026,0.003141587,0.000466349
2,-49.6,0.009520416908951383,0.001413191181323521,0.009470829101286533,0.0014058586639476226,0.009424638,0.001399029
3,-49.4,0.01586691755150585,0.0023552527790738284,0.01578427890372281,0.002343033009244604,0.015707317,0.002331653
4,-49.2,0.022212754078286896,0.0032972157182878867,0.02209708060444416,0.003280111278845356,0.021989376,0.003264185
5,-49.0,0.02855766066635862,0.004239040636480645,0.028408977707784496,0.004217055067655055,0.028270567,0.004196589
6,-48.8,0.03490137187127054,0.005180688171167051,0.03471971346624105,0.005153826726088942,0.034550641,0.005128826
7,-48.6,0.0412436222485722,0.006122118833700247,0.04102903138414775,0.006090387723133848,0.040829352,0.006060862
8,-48.4,0.04758414622765131,0.007063293261595178,0.047336675091756854,0.0070267002832866705,0.047106451,0.006992658
9,-48.2,0.05392267849021921,0.008004171966204983,0.05364238796748394,0.007962726253289271,0.05338169,0.007924178
10,-48.0,0.060258953970310856,0.008944715837368236,0.059945913893417954,0.00889842760580186,0.059654821,0.008855385
11,-47.8,0.06659270760196122,0.00988488526027626,0.06624699649981117,0.009833766313484647,0.065925598,0.009786242
12,-47.6,0.07292367444536708,0.010824640998605818,0.07254538004650754,0.010768704223079493,0.072193772,0.010716714
13,-47.4,0.07925158968688702,0.011763943816033668,0.07884080841559607,0.01170320368500164,0.078459096,0.011646762
14,-47.2,0.08557618889136503,0.012702754476236575,0.08513302586692069,0.012637226420074603,0.084721322,0.01257635
15,-47.0,0.09189720762364517,0.013641033616729482,0.09142177678624375,0.01357073452687694,0.090980204,0.013505442
16,-46.8,0.09821438170089504,0.014578742001189153,0.0977068059370826,0.014503690229905544,0.097235494,0.014434
17,-46.6,0.10452744731876773,0.01551584064561597,0.10398785783111791,0.015436055501820624,0.103486945,0.015361989
18,-46.4,0.11083614067291633,0.016452290187524882,0.11026467748370372,0.016367792693037418,0.109734311,0.016289372
19,-46.2,0.11714019846364113,0.017388051769078084,0.11653701016203079,0.01729886365029779,0.115977345,0.017216111
20,-46.0,0.12343935751740427,0.01832308615395233,0.12280460138512649,0.018229230849935326,0.1222158,0.01814217
21,-45.8,0.1297333549129915,0.01925735435814801,0.12906719654609994,0.019158856516446915,0.12844943,0.019067514
22,-45.6,0.136021928107674,0.0201908173976655,0.1353245416676519,0.020087702748411113,0.134677989,0.019992105
23,-45.4,0.1423048149372084,0.021123436414667,0.14157638289840152,0.021015732022161504,0.140901232,0.020915906
24,-45.2,0.14858175361583675,0.022055172425152886,0.14782246663880463,0.021942906688113325,0.147118912,0.021838882
25,-45.0,0.15485248248396288,0.022985986697447166,0.15406253979299042,0.02286918922260016,0.153330784,0.022760995
26,-44.8,0.16111674038663792,0.023915840499873848,0.16029634913916976,0.023794541850118905,0.159536602,0.02368221
27,-44.6,0.16737426654739843,0.02484469510075693,0.1665236420851452,0.02471892717292148,0.165736123,0.02460249
28,-44.4,0.17362480056826632,0.025772511768420416,0.17274416654239272,0.02564230779325982,0.1719291,0.025521799
29,-44.2,0.17986808255591083,0.02669925202351194,0.17895767017055156,0.026564646187467504,0.17811529,0.0264401
30,-44.0,0.18610385286932485,0.027624877134355498,0.1851639015106894,0.027485905209633146,0.184294449,0.027357357
31,-43.8,0.19233185249831022,0.028549349000084153,0.1913626092297922,0.02840604733609033,0.190466331,0.028273535
32,-43.6,0.19855182281115427,0.029472628889021912,0.1975535423726011,0.029325035420927664,0.196630695,0.029188596
33,-43.4,0.20476350555462974,0.03039467857414002,0.20373645061344875,0.030242832192315428,0.202787295,0.030102505
34,-43.2,0.21096664310631855,0.031315459954571544,0.20991108350074966,0.031159400756178915,0.20893589,0.031015225
35,-43.0,0.2171609782222878,0.03223493467712591,0.2160771917161833,0.03207470371477006,0.215076237,0.031926721
36,-42.8,0.22334625428941388,0.033153064767098,0.22223452568959245,0.032988704299932496,0.221208093,0.032836957
37,-42.6,0.22952221519922034,0.03406981212362087,0.22838283660633008,0.03390136561759153,0.227331216,0.033745896
38,-42.4,0.23568860522171614,0.03498513877198939,0.2345218761554224,0.03481265052183578,0.233445364,0.034653503
39,-42.2,0.24184516951004295,0.03589900698982205,0.24065139627773235,0.03572252237042723,0.239550296,0.035559742
40,-42.0,0.247991653469666,0.036811378928575535,0.24677114966963298,0.03663094452112787,0.245645771,0.036464577
41,-41.8,0.2541278033891834,0.03772221686586833,0.2528808890274973,0.037537880205781346,0.251731549,0.037367973
42,-41.6,0.26025336580951647,0.03863148320548076,0.25898036818096326,0.03844329278214964,0.257807388,0.038269893
43,-41.4,0.2663680882808815,0.03953914060351674,0.26506934095966916,0.039347145859831435,0.26387305,0.039170303
44,-41.2,0.2724717186058181,0.04044515146375655,0.2711475618228447,0.04024940279658872,0.269928294,0.040069166
45,-41.0,0.27856400546999865,0.04134947856846597,0.2772147859852299,0.041150027453856854,0.275972883,0.040966447
46,-40.8,0.28464469806374276,0.04225208469991071,0.28327076891340114,0.04204898344123451,0.282006576,0.041862111
47,-40.6,0.29071354658666454,0.043152932766518326,0.28931526682944525,0.042946234620157064,0.288029136,0.042756122
48,-40.4,0.29677030136453986,0.044051985550554555,0.29534803633320367,0.04384174485205987,0.294040325,0.043648446
49,-40.2,0.302814713858601,0.044949206465094184,0.3013688347800283,0.04473547799837828,0.300039906,0.044539046
50,-40.0,0.30884653616088914,0.04584455841856477,0.3073774200289442,0.045627398298302715,0.306027642,0.045427888
51,-39.8,0.3148655209942547,0.0467380048240411,0.31337355056856814,0.046517469739186856,0.312003297,0.046314936
52,-39.6,0.32087142183851874,0.04762950909459796,0.31935698526527206,0.04740565656022112,0.317966634,0.047200156
53,-39.4,0.3268639929304734,0.04851903489563378,0.32532748399277445,0.04829192325243257,0.323917418,0.048083513
54,-39.2,0.33284298926388173,0.04940654551406153,0.331284807002549,0.04917623418092996,0.329855415,0.048964972
55,-39.0,0.3388081665894772,0.050292004993765065,0.33722871517566105,0.050058553710822004,0.335780389,0.049844497
56,-38.8,0.34475928166728836,0.05117537712630461,0.34315897027460435,0.050938846584972504,0.341692108,0.050722055
57,-38.6,0.3506960916358289,0.052056625829402195,0.3490753344396277,0.0518170775462452,0.347590337,0.05159761
58,-38.4,0.3566183547690686,0.05293571527310348,0.3549775705664899,0.05269321121158553,0.353474844,0.052471128
59,-38.2,0.3625258300979486,0.053812609753615945,0.3608654424323782,0.0535672127016123,0.359345396,0.053342575
60,-38.0,0.36841827741038047,0.05468727344098523,0.366738714192235,0.054439047011025955,0.365201762,0.054211916
61,-37.8,0.3742954573774087,0.05555967088374245,0.3725971510083492,0.05530867913452696,0.37104371,0.055079116
62,-37.6,0.3801571315532104,0.05642976675658049,0.37844051854668326,0.05617607431865245,0.37687101,0.055944142
63,-37.4,0.3860030625012571,0.057297525734192264,0.3842685831027914,0.05704119806177626,0.382683432,0.05680696
64,-37.2,0.3918330134158295,0.058162912743594294,0.3900811121054926,0.05790401561043554,0.388480747,0.057667535
65,-37.0,0.39764674837434083,0.0590258927118031,0.3958778733613613,0.058764492588922454,0.394262724,0.058525834
66,-36.8,0.40344403271582263,0.05988643069199703,0.4016586355584002,0.05962259462152918,0.400029137,0.059381821
67,-36.6,0.4092246322839535,0.060744492242001645,0.4074231682660402,0.060478287584384595,0.405779758,0.060235465
68,-36.4,0.41498831418403026,0.0616000424149953,0.4131712415573859,0.0613315372276992,0.411514359,0.061086731
69,-36.2,0.42073484602599687,0.062453047021127195,0.4189026265128883,0.062182309679438545,0.417232714,0.061935585
70,-36.0,0.4264639969337391,0.0633034716182229,0.4246170949685087,0.06303057106756818,0.422934597,0.062781994
71,-35.8,0.43217553666195185,0.06415128201643162,0.4303144195157186,0.06387628764597202,0.428619784,0.063625924
72,-35.6,0.4378692358484626,0.0649964442782262,0.43599437350149906,0.06471942566853392,0.434288049,0.064467342
73,-35.4,0.44354486626655504,0.06583892446607945,0.44165673128017846,0.06555995164097449,0.43993917,0.065306216
74,-35.2,0.44920220069880756,0.0666786888947878,0.4473012679615949,0.06639783232085099,0.445572922,0.066142511
75,-35.0,0.45484101293709284,0.06751570400530954,0.45292775941109664,0.06723303433980235,0.451189084,0.066976195
76,-34.8,0.4604610775302546,0.0683499362386029,0.4585359823754603,0.06806552458130415,0.456787434,0.067807235
