NumeroIteracoes,38
Keff,0.758448810439

Malha,Posicao,Fluxo_Grupo1,Fluxo_Grupo2
211,42.2000,7.700240426,1.143031525
212,42.4000,7.712244938,1.144813488
213,42.6000,7.723947421,1.146550618
214,42.8000,7.735347448,1.148242851
215,43.0000,7.746444607,1.149890126
216,43.2000,7.757238495,1.151492382
217,43.4000,7.767728721,1.153049563
218,43.6000,7.777914904,1.154561612
219,43.8000,7.787796675,1.156028473
220,44.0000,7.797373675,1.157450094
221,44.2000,7.806645558,1.158826422
222,44.4000,7.815611987,1.160157409
223,44.6000,7.824272638,1.161443006
224,44.8000,7.832627196,1.162683166
225,45.0000,7.840675359,1.163877844
226,45.2000,7.848416835,1.165026998
227,45.4000,7.855851343,1.166130584
228,45.6000,7.862978614,1.167188565
229,45.8000,7.869798390,1.168200900
230,46.0000,7.876310423,1.169167553
231,46.2000,7.882514477,1.170088490
232,46.4000,7.888410327,1.170963676
233,46.6000,7.893997759,1.171793081
234,46.8000,7.899276570,1.172576674
235,47.0000,7.904246568,1.173314426
236,47.2000,7.908907573,1.174006310
237,47.4000,7.913259415,1.174652303
238,47.6000,7.917301937,1.175252379
239,47.8000,7.921034989,1.175806517
240,48.0000,7.924458437,1.176314698
241,48.2000,7.927572156,1.176776901
242,48.4000,7.930376030,1.177193111
243,48.6000,7.932869959,1.177563313
244,48.8000,7.935053849,1.177887492
245,49.0000,7.936927621,1.178165636
246,49.2000,7.938491205,1.178397736
247,49.4000,7.939744542,1.178583783
248,49.6000,7.940687586,1.178723769
249,49.8000,7.941320301,1.178817690
250,50.0000,7.941642661,1.178865541
251,50.2000,7.941654653,1.178867321
252,50.4000,7.941356274,1.178823029
253,50.6000,7.940747533,1.178732666
254,50.8000,7.939828450,1.178596236
255,51.0000,7.938599054,1.178413743
256,51.2000,7.937059389,1.178185193
257,51.4000,7.935209507,1.177910594
258,51.6000,7.933049471,1.177589956
259,51.8000,7.930579359,1.177223289
260,52.0000,7.927799256,1.176810607
261,52.2000,7.924709259,1.176351924
262,52.4000,7.921309477,1.175847257
263,52.6000,7.917600031,1.175296622
264,52.8000,7.913581051,1.174700040
265,53.0000,7.909252679,1.174057531
266,53.2000,7.904615069,1.173369118
267,53.4000,7.899668385,1.172634827
268,53.6000,7.894412803,1.171854682
269,53.8000,7.888848509,1.171028711
270,54.0000,7.882975701,1.170156945
271,54.2000,7.876794589,1.169239413
272,54.4000,7.870305391,1.168276149
273,54.6000,7.863508340,1.167267187
274,54.8000,7.856403678,1.166212562
275,55.0000,7.848991659,1.165112313
276,55.2000,7.841272547,1.163966479
277,55.4000,7.833246617,1.162775101
278,55.6000,7.824914158,1.161538220
279,55.8000,7.816275466,1.160255883
280,56.0000,7.807330852,1.158928134
281,56.2000,7.798080635,1.157555021
282,56.4000,7.788525147,1.156136593
283,56.6000,7.778664731,1.154672901
284,56.8000,7.768499739,1.153163998
285,57.0000,7.758030539,1.151609938
286,57.2000,7.747257504,1.150010776
287,57.4000,7.736181022,1.148366570
288,57.6000,7.724801492,1.146677379
289,57.8000,7.713119323,1.144943265
290,58.0000,7.701134936,1.143164288
291,58.2000,7.688848761,1.141340514
292,58.4000,7.676261242,1.139472008
293,58.6000,7.663372832,1.137558838
294,58.8000,7.650183996,1.135601072
295,59.0000,7.636695211,1.133598781
296,59.2000,7.622906964,1.131552038
297,59.4000,7.608819752,1.129460916
298,59.6000,7.594434086,1.127325491
299,59.8000,7.579750484,1.125145840
300,60.0000,7.564769480,1.122922043
301,60.2000,7.549491616,1.120654179
302,60.4000,7.533917444,1.118342331
303,60.6000,7.518047531,1.115986583
304,60.8000,7.501882452,1.113587020
305,61.0000,7.485422793,1.111143730
306,61.2000,7.468669153,1.108656800
307,61.4000,7.451622141,1.106126322
308,61.6000,7.434282376,1.103552388
309,61.8000,7.416650491,1.100935091
310,62.0000,7.398727126,1.098274526
311,62.2000,7.380512935,1.095570791
312,62.4000,7.362008583,1.092823984
313,62.6000,7.343214744,1.090034205
314,62.8000,7.324132105,1.087201557
315,63.0000,7.304761363,1.084326142
316,63.2000,7.285103227,1.081408066
317,63.4000,7.265158415,1.078447436
318,63.6000,7.244927657,1.075444359
319,63.8000,7.224411696,1.072398947
320,64.0000,7.203611282,1.069311310
321,64.2000,7.182527179,1.066181562
322,64.4000,7.161160162,1.063009818
323,64.6000,7.139511014,1.059796195
324,64.8000,7.117580533,1.056540809
325,65.0000,7.095369524,1.053243782
326,65.2000,7.072878806,1.049905235
327,65.4000,7.050109207,1.046525290
328,65.6000,7.027061566,1.043104073
329,65.8000,7.003736735,1.039641709
330,66.0000,6.980135573,1.036138326
331,66.2000,6.956258954,1.032594055
332,66.4000,6.932107759,1.029009024
333,66.6000,6.907682883,1.025383369
334,66.8000,6.882985231,1.021717222
335,67.0000,6.858015717,1.018010720
336,67.2000,6.832775267,1.014264000
337,67.4000,6.807264818,1.010477201
338,67.6000,6.781485319,1.006650463
339,67.8000,6.755437726,1.002783930
340,68.0000,6.729123010,0.998877745
341,68.2000,6.702542149,0.994932052
342,68.4000,6.675696134,0.990947001
343,68.6000,6.648585966,0.986922738
344,68.8000,6.621212657,0.982859414
345,69.0000,6.593577228,0.978757180
346,69.2000,6.565680713,0.974616191
347,69.4000,6.537524155,0.970436601
348,69.6000,6.509108609,0.966218567
349,69.8000,6.480435137,0.961962245
350,70.0000,6.451504816,0.957667797
351,70.2000,6.422318731,0.953335383
352,70.4000,6.392877978,0.948965166
353,70.6000,6.363183664,0.944557310
354,70.8000,6.333236904,0.940111981
355,71.0000,6.303038827,0.935629345
356,71.2000,6.272590570,0.931109573
357,71.4000,6.241893281,0.926552835
358,71.6000,6.210948117,0.921959301
359,71.8000,6.179756249,0.917329147
360,72.0000,6.148318853,0.912662546
361,72.2000,6.116637121,0.907959676
362,72.4000,6.084712250,0.903220714
363,72.6000,6.052545450,0.898445840
364,72.8000,6.020137941,0.893635235
365,73.0000,5.987490952,0.888789081
366,73.2000,5.954605723,0.883907563
